Glassdoor ranking,"Paternity League ranking","Paternity League ranking ARROW",Company,Total leave period (weeks),Rate of pay,Rate of pay ranking,Leave offered ranking,"Paternity Pay Score"
24,1,up,Diageo,52,100% salary for 26 weeks,1,1,Gold
16,2,up,Zurich Insurance,52,100% salary for 16 weeks,2,1,Gold
40,3,up,Fidelity International,26,100% salary,3,2,Gold
47,4,up,Mars,26,90% salary,4,2,Gold
8,5,up,VMware,18,100% salary,5,4,Silver
18,6,up,Google,18,100% salary,5,4,Silver
20,7,up,Wise,18,100% salary ,5,4,Silver
10,8,up,Meta,16,100% salary,6,5,Silver
14,9,up,Mastercard,16,100% salary,6,5,Silver
49,10,up,O2,14,100% salary,7,6,Silver
41,11,up,S&P Global,20,Statutory rate assumed,11,3,Bronze
45,12,up,Marriott International,14,"100% for 2 weeks 
reduced pay for 12 weeks",8,6,Silver
1,13,down,ServiceNow,12,100% salary,9,7,Silver
6,14,down,McKinsey & Company,12,100% salary,9,7,Silver
13,15,down,Microsoft,12,100% salary,9,7,Silver
27,16,up,Octopus Energy,12,100% salary,9,7,Silver
17,17,none,Awin,8,100% salary,10,8,Bronze
22,18,up,BCG,8,100% salary ,10,8,Bronze
37,19,up,The Lego Group,8,100% salary ,10,8,Bronze
44,20,up,Proctor & Gamble,8,100% salary,10,8,Bronze
5,21,down,Abcam,6,100% salary,12,9,Bronze
23,22,up,Apple,6,100% salary,12,9,Bronze
3,23,down,Salesforce,12,Statutory rate assumed,14,7,Bronze
7,24,down,Adobe,4,100% salary,13,10,Bronze
39,25,up,Johnson & Johnson,8,Statutory rate assumed,16,8,Bronze
9,26,down,Arm,8,Statutory rate assumed,16,8,Bronze
31,27,up,Softcat,3,90% salary,15,11,Bronze
4,28,down,Immediate Media Company,4,"100% for 2 weeks 
statutory for 2 weeks",17,10,Bronze
11,29,down,Novuna,2,100% salary,18,12,Bronze
29,30,down,Barratt Developments,2,100% salary,18,12,Bronze
30,31,down,Sky Betting & Gaming,2,100% salary,18,12,Bronze
32,32,none,Cisco Systems,2,100% salary,18,12,Bronze
38,33,up,Kainos,2,100% salary,18,12,Bronze
15,34,down,Dell Technologies,2,Statutory rate,19,12,Bronze
26,35,down,Oliver Bonas,2,Statutory rate,19,12,Bronze
33,36,down,Sage,2,Statutory rate,19,12,Bronze
50,37,up,MBDA,2,Statutory rate assumed,19,12,Bronze
42,38,up,Ford Motor Company,2,Statutory rate,19,12,Bronze
43,39,up,Jet2.com,2,Statutory rate,19,12,Bronze
46,40,up,Capgemini Invent,2,Statutory rate,19,12,Bronze
48,41,up,Mott Macdonald,2,Statutory rate,19,12,Bronze